time	V1_0	V1_1	V1_2	V1_3	V1_4	V1_5	V1_6	V1_7	V1_8	V1_9	V1_10	V1_11	V1_12	V1_13	V1_14	V1_15	V1_16	V1_17	V1_18	V1_19	V1_20	V1_21	V1_22	V1_23	V1_24	V1_25	V1_26	V1_27	V1_28	V1_29	V1_30	V1_31	V1_32	V1_33	V1_34	V1_35	V1_36	V1_37	V1_38	V1_39	V1_40	V1_41	V1_42	V1_43	V1_44	V1_45	V1_46	V1_47	V1_48	V1_49
2.58	1.000442	1.00045	1.000396	1.000457	1.000443	1.000369	1.000443	1.000425	1.00038	1.000421	1.000415	1.000439	1.000337	1.000418	1.00044	1.000469	1.00044	1.000304	1.000436	1.000349	1.000421	1.000417	1.000379	1.000412	1.000447	1.000333	1.000452	1.000452	1.000378	1.000399	1.000424	1.000424	1.000434	1.000428	1.000469	1.000367	1.000418	1.000442	1.000452	1.000416	1.000397	1.000367	1.000451	1.00045	1.000432	1.000392	1.000355	1.000445	1.000446	1.000445
2.6	1.000442	1.000449	1.000396	1.000456	1.000443	1.000369	1.000442	1.000424	1.00038	1.000421	1.000414	1.000439	1.000337	1.000418	1.00044	1.000469	1.00044	1.000304	1.000435	1.000349	1.000421	1.000417	1.000379	1.000412	1.000447	1.000332	1.000452	1.000452	1.000377	1.000399	1.000423	1.000424	1.000434	1.000427	1.000468	1.000366	1.000418	1.000442	1.000452	1.000416	1.000397	1.000367	1.000451	1.000449	1.000432	1.000392	1.000354	1.000444	1.000445	1.000445
2.62	1.000441	1.000448	1.000395	1.000455	1.000442	1.000369	1.000442	1.000424	1.000379	1.000421	1.000414	1.000439	1.000337	1.000418	1.000439	1.000468	1.000439	1.000303	1.000435	1.000349	1.00042	1.000416	1.000379	1.000412	1.000447	1.000332	1.000451	1.000452	1.000377	1.000398	1.000423	1.000424	1.000433	1.000427	1.000468	1.000366	1.000418	1.000441	1.000451	1.000416	1.000397	1.000366	1.00045	1.000449	1.000431	1.000392	1.000354	1.000444	1.000445	1.000445
2.64	1.000441	1.000448	1.000395	1.000454	1.000442	1.000368	1.000441	1.000424	1.000379	1.00042	1.000414	1.000439	1.000337	1.000417	1.000439	1.000468	1.000439	1.000303	1.000435	1.000348	1.00042	1.000416	1.000379	1.000411	1.000446	1.000332	1.000451	1.000452	1.000377	1.000398	1.000422	1.000423	1.000433	1.000427	1.000468	1.000366	1.000418	1.000441	1.000451	1.000416	1.000396	1.000366	1.00045	1.000449	1.000431	1.000391	1.000354	1.000444	1.000445	1.000445
2.66	1.000441	1.000447	1.000395	1.000453	1.000442	1.000368	1.000441	1.000423	1.000379	1.00042	1.000413	1.000438	1.000336	1.000417	1.000439	1.000468	1.000439	1.000303	1.000434	1.000348	1.00042	1.000416	1.000378	1.000411	1.000446	1.000331	1.000451	1.000451	1.000377	1.000398	1.000422	1.000423	1.000433	1.000427	1.000467	1.000365	1.000417	1.000441	1.000451	1.000415	1.000396	1.000366	1.00045	1.000448	1.000431	1.000391	1.000353	1.000443	1.000444	1.000445
2.68	1.00044	1.000447	1.000395	1.000452	1.000441	1.000368	1.00044	1.000423	1.000378	1.00042	1.000413	1.000438	1.000336	1.000417	1.000439	1.000467	1.000438	1.000303	1.000434	1.000348	1.00042	1.000415	1.000378	1.000411	1.000446	1.000331	1.00045	1.000451	1.000377	1.000398	1.000422	1.000423	1.000432	1.000426	1.000467	1.000365	1.000417	1.000441	1.000451	1.000415	1.000395	1.000365	1.000449	1.000448	1.000431	1.000391	1.000353	1.000443	1.000444	1.000445
2.7	1.00044	1.000446	1.000394	1.000452	1.000441	1.000368	1.00044	1.000423	1.000378	1.00042	1.000413	1.000438	1.000336	1.000417	1.000438	1.000467	1.000438	1.000304	1.000434	1.000348	1.000419	1.000415	1.000378	1.000411	1.000446	1.000331	1.00045	1.000451	1.000376	1.000398	1.000421	1.000423	1.000432	1.000426	1.000467	1.000365	1.000417	1.000441	1.00045	1.000415	1.000395	1.000365	1.000449	1.000448	1.00043	1.00039	1.000353	1.000442	1.000444	1.000444
2.72	1.00044	1.000446	1.000394	1.000451	1.000441	1.000368	1.00044	1.000423	1.000378	1.00042	1.000412	1.000438	1.000336	1.000417	1.000438	1.000467	1.000437	1.000304	1.000433	1.000347	1.000419	1.000415	1.000378	1.000411	1.000445	1.000331	1.00045	1.000451	1.000376	1.000398	1.000421	1.000422	1.000432	1.000426	1.000467	1.000365	1.000417	1.00044	1.00045	1.000415	1.000394	1.000365	1.000449	1.000448	1.00043	1.00039	1.000353	1.000442	1.000443	1.000444
2.74	1.00044	1.000446	1.000394	1.00045	1.00044	1.000368	1.000439	1.000422	1.000378	1.00042	1.000412	1.000438	1.000336	1.000417	1.000438	1.000466	1.000437	1.000304	1.000433	1.000347	1.000419	1.000414	1.000378	1.00041	1.000445	1.00033	1.00045	1.000451	1.000376	1.000398	1.000421	1.000422	1.000431	1.000426	1.000466	1.000365	1.000417	1.00044	1.00045	1.000415	1.000394	1.000365	1.000448	1.000447	1.00043	1.00039	1.000353	1.000441	1.000443	1.000444
2.76	1.000439	1.000445	1.000394	1.000449	1.00044	1.000367	1.000439	1.000422	1.000377	1.00042	1.000412	1.000438	1.000336	1.000416	1.000437	1.000466	1.000437	1.000304	1.000433	1.000347	1.000419	1.000414	1.000378	1.00041	1.000445	1.00033	1.000449	1.000451	1.000376	1.000398	1.00042	1.000422	1.000431	1.000426	1.000466	1.000364	1.000416	1.00044	1.00045	1.000415	1.000394	1.000365	1.000448	1.000447	1.00043	1.00039	1.000352	1.000441	1.000443	1.000444
2.78	1.000439	1.000445	1.000393	1.000449	1.00044	1.000367	1.000438	1.000422	1.000377	1.00042	1.000412	1.000438	1.000336	1.000416	1.000437	1.000466	1.000436	1.000304	1.000433	1.000347	1.000419	1.000414	1.000377	1.00041	1.000445	1.00033	1.000449	1.000451	1.000376	1.000398	1.00042	1.000422	1.000431	1.000425	1.000466	1.000364	1.000416	1.00044	1.000449	1.000414	1.000393	1.000364	1.000448	1.000447	1.000429	1.00039	1.000352	1.000441	1.000443	1.000444
2.8	1.000439	1.000444	1.000393	1.000448	1.00044	1.000367	1.000438	1.000421	1.000377	1.000419	1.000411	1.000438	1.000336	1.000416	1.000437	1.000465	1.000436	1.000304	1.000432	1.000347	1.000419	1.000414	1.000377	1.00041	1.000444	1.00033	1.000449	1.000451	1.000376	1.000397	1.00042	1.000422	1.00043	1.000425	1.000466	1.000364	1.000416	1.00044	1.000449	1.000414	1.000393	1.000364	1.000448	1.000447	1.000429	1.000389	1.000352	1.00044	1.000442	1.000444
2.82	1.000439	1.000444	1.000393	1.000447	1.000439	1.000367	1.000438	1.000421	1.000377	1.000419	1.000411	1.000438	1.000336	1.000416	1.000437	1.000465	1.000436	1.000304	1.000432	1.000346	1.000419	1.000413	1.000377	1.00041	1.000444	1.000329	1.000449	1.000451	1.000376	1.000397	1.000419	1.000421	1.00043	1.000425	1.000465	1.000364	1.000416	1.000439	1.000449	1.000414	1.000393	1.000364	1.000448	1.000446	1.000429	1.000389	1.000352	1.00044	1.000442	1.000444
2.84	1.000439	1.000444	1.000393	1.000447	1.000439	1.000367	1.000437	1.000421	1.000377	1.000419	1.000411	1.000437	1.000335	1.000416	1.000437	1.000465	1.000435	1.000304	1.000432	1.000346	1.000418	1.000413	1.000377	1.00041	1.000444	1.000329	1.000448	1.00045	1.000375	1.000397	1.000419	1.000421	1.00043	1.000425	1.000465	1.000364	1.000416	1.000439	1.000449	1.000414	1.000392	1.000364	1.000447	1.000446	1.000429	1.000389	1.000352	1.00044	1.000442	1.000444
2.86	1.000438	1.000443	1.000393	1.000446	1.000439	1.000367	1.000437	1.000421	1.000377	1.000419	1.000411	1.000437	1.000335	1.000416	1.000436	1.000464	1.000435	1.000304	1.000432	1.000346	1.000418	1.000413	1.000377	1.00041	1.000444	1.000329	1.000448	1.00045	1.000375	1.000397	1.000419	1.000421	1.00043	1.000425	1.000465	1.000364	1.000416	1.000439	1.000449	1.000414	1.000392	1.000364	1.000447	1.000446	1.000429	1.000389	1.000351	1.000439	1.000442	1.000444
2.88	1.000438	1.000443	1.000392	1.000445	1.000439	1.000367	1.000437	1.000421	1.000377	1.000419	1.000411	1.000437	1.000335	1.000416	1.000436	1.000464	1.000435	1.000304	1.000431	1.000346	1.000418	1.000412	1.000377	1.000409	1.000444	1.000329	1.000448	1.00045	1.000375	1.000397	1.000418	1.000421	1.000429	1.000425	1.000465	1.000363	1.000416	1.000439	1.000449	1.000414	1.000392	1.000364	1.000447	1.000446	1.000428	1.000389	1.000351	1.000439	1.000442	1.000444
2.9	1.000438	1.000443	1.000392	1.000445	1.000438	1.000367	1.000436	1.000421	1.000376	1.000419	1.00041	1.000437	1.000335	1.000416	1.000436	1.000464	1.000435	1.000304	1.000431	1.000346	1.000418	1.000412	1.000377	1.000409	1.000444	1.000329	1.000448	1.00045	1.000375	1.000397	1.000418	1.000421	1.000429	1.000424	1.000465	1.000363	1.000416	1.000439	1.000449	1.000414	1.000392	1.000364	1.000447	1.000446	1.000428	1.000389	1.000351	1.000439	1.000441	1.000444
2.92	1.000438	1.000442	1.000392	1.000444	1.000438	1.000367	1.000436	1.00042	1.000376	1.000419	1.00041	1.000437	1.000335	1.000416	1.000436	1.000464	1.000435	1.000304	1.000431	1.000346	1.000418	1.000412	1.000377	1.000409	1.000444	1.000329	1.000448	1.00045	1.000375	1.000397	1.000418	1.000421	1.000429	1.000424	1.000465	1.000363	1.000416	1.000439	1.000448	1.000414	1.000391	1.000364	1.000447	1.000446	1.000428	1.000389	1.000351	1.000439	1.000441	1.000444
2.94	1.000438	1.000442	1.000392	1.000444	1.000438	1.000367	1.000436	1.00042	1.000376	1.000419	1.00041	1.000437	1.000335	1.000416	1.000436	1.000464	1.000434	1.000304	1.000431	1.000346	1.000418	1.000412	1.000377	1.000409	1.000443	1.000329	1.000447	1.00045	1.000375	1.000397	1.000418	1.000421	1.000429	1.000424	1.000464	1.000363	1.000416	1.000439	1.000448	1.000414	1.000391	1.000364	1.000446	1.000445	1.000428	1.000389	1.000351	1.000438	1.000441	1.000444
2.96	1.000438	1.000442	1.000392	1.000443	1.000438	1.000367	1.000436	1.00042	1.000376	1.000419	1.00041	1.000437	1.000336	1.000416	1.000436	1.000463	1.000434	1.000304	1.000431	1.000346	1.000418	1.000412	1.000377	1.000409	1.000443	1.000329	1.000447	1.00045	1.000375	1.000397	1.000418	1.000421	1.000429	1.000424	1.000464	1.000363	1.000416	1.000439	1.000448	1.000414	1.000391	1.000363	1.000446	1.000445	1.000428	1.000388	1.000351	1.000438	1.000441	1.000444
2.98	1.000438	1.000442	1.000392	1.000443	1.000438	1.000367	1.000436	1.00042	1.000376	1.000419	1.00041	1.000437	1.000336	1.000415	1.000435	1.000463	1.000434	1.000304	1.00043	1.000346	1.000418	1.000411	1.000377	1.000409	1.000443	1.000329	1.000447	1.00045	1.000375	1.000397	1.000417	1.000421	1.000428	1.000424	1.000464	1.000363	1.000416	1.000438	1.000448	1.000414	1.000391	1.000363	1.000446	1.000445	1.000428	1.000388	1.000351	1.000438	1.000441	1.000444
3	1.000438	1.000441	1.000392	1.000443	1.000437	1.000367	1.000435	1.00042	1.000376	1.000419	1.00041	1.000437	1.000336	1.000415	1.000435	1.000463	1.000434	1.000304	1.00043	1.000346	1.000418	1.000411	1.000377	1.000409	1.000443	1.000329	1.000447	1.00045	1.000375	1.000397	1.000417	1.000421	1.000428	1.000424	1.000464	1.000363	1.000415	1.000438	1.000448	1.000413	1.000391	1.000363	1.000446	1.000445	1.000428	1.000388	1.000351	1.000438	1.000441	1.000444
3.02	1.000438	1.000441	1.000392	1.000442	1.000437	1.000367	1.000435	1.00042	1.000376	1.000419	1.00041	1.000437	1.000336	1.000415	1.000435	1.000463	1.000434	1.000304	1.00043	1.000346	1.000418	1.000411	1.000377	1.000409	1.000443	1.000329	1.000447	1.00045	1.000375	1.000397	1.000417	1.000421	1.000428	1.000424	1.000464	1.000363	1.000416	1.000438	1.000448	1.000413	1.000391	1.000363	1.000446	1.000445	1.000428	1.000388	1.000351	1.000438	1.000441	1.000444
3.04	1.000438	1.000441	1.000392	1.000442	1.000437	1.000367	1.000435	1.00042	1.000376	1.000419	1.00041	1.000437	1.000336	1.000415	1.000435	1.000463	1.000434	1.000305	1.00043	1.000346	1.000418	1.000411	1.000377	1.000409	1.000443	1.000329	1.000447	1.00045	1.000375	1.000397	1.000417	1.000421	1.000428	1.000424	1.000464	1.000363	1.000416	1.000438	1.000448	1.000413	1.00039	1.000364	1.000446	1.000445	1.000428	1.000388	1.000351	1.000438	1.000441	1.000444
3.06	1.000438	1.000441	1.000392	1.000442	1.000437	1.000367	1.000435	1.00042	1.000376	1.000419	1.00041	1.000437	1.000336	1.000415	1.000435	1.000463	1.000434	1.000305	1.00043	1.000346	1.000418	1.000411	1.000377	1.000409	1.000443	1.000329	1.000447	1.00045	1.000375	1.000397	1.000417	1.000421	1.000428	1.000424	1.000464	1.000363	1.000416	1.000438	1.000448	1.000413	1.00039	1.000364	1.000446	1.000445	1.000428	1.000388	1.000351	1.000438	1.000441	1.000444
3.08	1.000438	1.000441	1.000392	1.000441	1.000437	1.000367	1.000435	1.00042	1.000376	1.000419	1.00041	1.000437	1.000336	1.000415	1.000435	1.000463	1.000434	1.000305	1.00043	1.000346	1.000418	1.000411	1.000377	1.000409	1.000443	1.000329	1.000447	1.00045	1.000375	1.000397	1.000417	1.000421	1.000428	1.000424	1.000464	1.000363	1.000416	1.000438	1.000448	1.000413	1.00039	1.000364	1.000446	1.000445	1.000428	1.000388	1.000351	1.000437	1.000441	1.000444
3.1	1.000438	1.000441	1.000392	1.000441	1.000437	1.000367	1.000435	1.00042	1.000376	1.000419	1.00041	1.000437	1.000336	1.000415	1.000435	1.000463	1.000434	1.000305	1.00043	1.000346	1.000418	1.000411	1.000377	1.000409	1.000443	1.000329	1.000447	1.00045	1.000375	1.000397	1.000417	1.000421	1.000428	1.000424	1.000464	1.000363	1.000416	1.000438	1.000448	1.000414	1.00039	1.000364	1.000446	1.000445	1.000428	1.000389	1.000351	1.000437	1.000441	1.000444
3.12	1.000438	1.000441	1.000392	1.000441	1.000437	1.000367	1.000435	1.00042	1.000377	1.000419	1.00041	1.000437	1.000336	1.000416	1.000435	1.000463	1.000434	1.000305	1.00043	1.000346	1.000418	1.000411	1.000377	1.00041	1.000443	1.000329	1.000447	1.00045	1.000375	1.000397	1.000417	1.000421	1.000428	1.000424	1.000464	1.000363	1.000416	1.000438	1.000448	1.000414	1.00039	1.000364	1.000446	1.000445	1.000428	1.000389	1.000351	1.000437	1.000441	1.000444
3.14	1.000438	1.000441	1.000392	1.000441	1.000437	1.000368	1.000435	1.00042	1.000377	1.000419	1.00041	1.000437	1.000337	1.000416	1.000435	1.000463	1.000434	1.000305	1.00043	1.000346	1.000418	1.000411	1.000377	1.00041	1.000443	1.00033	1.000447	1.00045	1.000375	1.000398	1.000417	1.000421	1.000428	1.000424	1.000464	1.000363	1.000416	1.000438	1.000448	1.000414	1.00039	1.000364	1.000446	1.000445	1.000428	1.000389	1.000351	1.000437	1.000441	1.000444
3.16	1.000438	1.000441	1.000392	1.000441	1.000437	1.000368	1.000435	1.00042	1.000377	1.000419	1.00041	1.000437	1.000337	1.000416	1.000435	1.000463	1.000434	1.000305	1.00043	1.000347	1.000418	1.000411	1.000377	1.00041	1.000443	1.00033	1.000447	1.00045	1.000375	1.000398	1.000417	1.000421	1.000428	1.000424	1.000464	1.000363	1.000416	1.000438	1.000448	1.000414	1.00039	1.000364	1.000446	1.000445	1.000428	1.000389	1.000351	1.000438	1.000441	1.000444
3.18	1.000438	1.000441	1.000392	1.000441	1.000437	1.000368	1.000435	1.00042	1.000377	1.000419	1.00041	1.000437	1.000337	1.000416	1.000435	1.000463	1.000434	1.000306	1.00043	1.000347	1.000418	1.000411	1.000377	1.00041	1.000443	1.00033	1.000447	1.00045	1.000376	1.000398	1.000417	1.000421	1.000428	1.000425	1.000464	1.000363	1.000416	1.000439	1.000448	1.000414	1.00039	1.000364	1.000446	1.000445	1.000428	1.000389	1.000351	1.000438	1.000441	1.000444
3.2	1.000438	1.000441	1.000392	1.000441	1.000437	1.000368	1.000435	1.000421	1.000377	1.000419	1.00041	1.000437	1.000337	1.000416	1.000435	1.000463	1.000435	1.000306	1.00043	1.000347	1.000418	1.000411	1.000378	1.00041	1.000443	1.00033	1.000448	1.000451	1.000376	1.000398	1.000417	1.000422	1.000429	1.000425	1.000464	1.000364	1.000416	1.000439	1.000448	1.000414	1.00039	1.000365	1.000447	1.000446	1.000428	1.000389	1.000351	1.000438	1.000441	1.000444
3.22	1.000438	1.000441	1.000392	1.000441	1.000437	1.000368	1.000435	1.000421	1.000377	1.00042	1.00041	1.000437	1.000338	1.000416	1.000435	1.000463	1.000435	1.000306	1.00043	1.000347	1.000418	1.000411	1.000378	1.00041	1.000444	1.000331	1.000448	1.000451	1.000376	1.000398	1.000417	1.000422	1.000429	1.000425	1.000464	1.000364	1.000416	1.000439	1.000449	1.000414	1.000391	1.000365	1.000447	1.000446	1.000428	1.000389	1.000351	1.000438	1.000441	1.000444
3.24	1.000439	1.000441	1.000393	1.000441	1.000437	1.000369	1.000435	1.000421	1.000378	1.00042	1.00041	1.000438	1.000338	1.000416	1.000436	1.000463	1.000435	1.000306	1.00043	1.000347	1.000419	1.000411	1.000378	1.000411	1.000444	1.000331	1.000448	1.000451	1.000376	1.000398	1.000417	1.000422	1.000429	1.000425	1.000464	1.000364	1.000417	1.000439	1.000449	1.000414	1.000391	1.000365	1.000447	1.000446	1.000428	1.00039	1.000351	1.000438	1.000441	1.000444
3.26	1.000439	1.000441	1.000393	1.000441	1.000437	1.000369	1.000435	1.000421	1.000378	1.00042	1.00041	1.000438	1.000338	1.000416	1.000436	1.000463	1.000435	1.000306	1.00043	1.000348	1.000419	1.000411	1.000378	1.000411	1.000444	1.000331	1.000448	1.000451	1.000376	1.000398	1.000418	1.000422	1.000429	1.000425	1.000464	1.000364	1.000417	1.000439	1.000449	1.000414	1.000391	1.000365	1.000447	1.000446	1.000429	1.00039	1.000352	1.000438	1.000442	1.000444
3.28	1.000439	1.000442	1.000393	1.000441	1.000437	1.000369	1.000436	1.000422	1.000378	1.00042	1.000411	1.000438	1.000338	1.000416	1.000436	1.000463	1.000435	1.000306	1.000431	1.000348	1.000419	1.000411	1.000378	1.000411	1.000444	1.000332	1.000448	1.000451	1.000376	1.000399	1.000418	1.000422	1.000429	1.000425	1.000465	1.000364	1.000417	1.000439	1.000449	1.000415	1.000391	1.000366	1.000447	1.000446	1.000429	1.00039	1.000352	1.000438	1.000442	1.000444
3.3	1.000439	1.000442	1.000393	1.000442	1.000438	1.000369	1.000436	1.000422	1.000378	1.00042	1.000411	1.000438	1.000339	1.000417	1.000436	1.000463	1.000436	1.000307	1.000431	1.000348	1.000419	1.000412	1.000379	1.000411	1.000444	1.000332	1.000448	1.000451	1.000377	1.000399	1.000418	1.000423	1.00043	1.000426	1.000465	1.000364	1.000417	1.000439	1.000449	1.000415	1.000391	1.000366	1.000448	1.000447	1.000429	1.00039	1.000352	1.000439	1.000442	1.000445
3.32	1.00044	1.000442	1.000393	1.000442	1.000438	1.00037	1.000436	1.000422	1.000379	1.00042	1.000411	1.000438	1.000339	1.000417	1.000436	1.000463	1.000436	1.000307	1.000431	1.000349	1.000419	1.000412	1.000379	1.000412	1.000445	1.000332	1.000449	1.000451	1.000377	1.000399	1.000418	1.000423	1.00043	1.000426	1.000465	1.000365	1.000418	1.00044	1.000449	1.000415	1.000391	1.000366	1.000448	1.000447	1.000429	1.000391	1.000352	1.000439	1.000442	1.000445
3.34	1.00044	1.000442	1.000394	1.000442	1.000438	1.00037	1.000436	1.000422	1.000379	1.000421	1.000411	1.000438	1.000339	1.000417	1.000436	1.000464	1.000436	1.000307	1.000431	1.000349	1.00042	1.000412	1.000379	1.000412	1.000445	1.000333	1.000449	1.000452	1.000377	1.000399	1.000418	1.000423	1.00043	1.000426	1.000465	1.000365	1.000418	1.00044	1.00045	1.000415	1.000392	1.000366	1.000448	1.000447	1.000429	1.000391	1.000353	1.000439	1.000443	1.000445
3.36	1.00044	1.000443	1.000394	1.000443	1.000438	1.00037	1.000436	1.000423	1.000379	1.000421	1.000412	1.000438	1.00034	1.000417	1.000437	1.000464	1.000437	1.000307	1.000431	1.000349	1.00042	1.000412	1.000379	1.000412	1.000445	1.000333	1.000449	1.000452	1.000377	1.000399	1.000419	1.000424	1.00043	1.000426	1.000465	1.000365	1.000418	1.00044	1.00045	1.000415	1.000392	1.000367	1.000448	1.000447	1.00043	1.000391	1.000353	1.00044	1.000443	1.000445
3.38	1.00044	1.000443	1.000394	1.000443	1.000438	1.000371	1.000437	1.000423	1.00038	1.000421	1.000412	1.000439	1.00034	1.000417	1.000437	1.000464	1.000437	1.000308	1.000432	1.00035	1.00042	1.000413	1.00038	1.000413	1.000445	1.000334	1.000449	1.000452	1.000378	1.0004	1.000419	1.000424	1.000431	1.000427	1.000466	1.000366	1.000418	1.00044	1.00045	1.000416	1.000392	1.000367	1.000449	1.000448	1.00043	1.000392	1.000353	1.00044	1.000443	1.000445
3.4	1.000441	1.000443	1.000395	1.000443	1.000439	1.000371	1.000437	1.000423	1.00038	1.000421	1.000412	1.000439	1.000341	1.000418	1.000437	1.000464	1.000437	1.000308	1.000432	1.00035	1.00042	1.000413	1.00038	1.000413	1.000446	1.000334	1.00045	1.000452	1.000378	1.0004	1.000419	1.000424	1.000431	1.000427	1.000466	1.000366	1.000419	1.000441	1.00045	1.000416	1.000393	1.000367	1.000449	1.000448	1.00043	1.000392	1.000353	1.00044	1.000443	1.000445
3.42	1.000441	1.000444	1.000395	1.000444	1.000439	1.000371	1.000437	1.000424	1.000381	1.000421	1.000413	1.000439	1.000341	1.000418	1.000437	1.000465	1.000438	1.000308	1.000432	1.000351	1.00042	1.000413	1.00038	1.000413	1.000446	1.000335	1.00045	1.000452	1.000378	1.0004	1.00042	1.000424	1.000431	1.000427	1.000466	1.000366	1.000419	1.000441	1.000451	1.000416	1.000393	1.000368	1.000449	1.000448	1.00043	1.000392	1.000354	1.000441	1.000444	1.000446
3.44	1.000441	1.000444	1.000395	1.000444	1.000439	1.000372	1.000438	1.000424	1.000381	1.000422	1.000413	1.000439	1.000341	1.000418	1.000438	1.000465	1.000438	1.000308	1.000433	1.000351	1.000421	1.000413	1.00038	1.000414	1.000446	1.000335	1.00045	1.000453	1.000378	1.0004	1.00042	1.000425	1.000432	1.000427	1.000466	1.000366	1.000419	1.000441	1.000451	1.000416	1.000393	1.000368	1.00045	1.000448	1.000431	1.000393	1.000354	1.000441	1.000444	1.000446
3.46	1.000442	1.000444	1.000396	1.000445	1.000439	1.000372	1.000438	1.000424	1.000381	1.000422	1.000413	1.000439	1.000342	1.000418	1.000438	1.000465	1.000439	1.000308	1.000433	1.000351	1.000421	1.000414	1.000381	1.000414	1.000446	1.000336	1.000451	1.000453	1.000379	1.000401	1.00042	1.000425	1.000432	1.000428	1.000467	1.000367	1.000419	1.000441	1.000451	1.000417	1.000394	1.000369	1.00045	1.000449	1.000431	1.000393	1.000354	1.000441	1.000444	1.000446
3.48	1.000442	1.000445	1.000396	1.000445	1.00044	1.000372	1.000438	1.000425	1.000382	1.000422	1.000414	1.00044	1.000342	1.000418	1.000438	1.000465	1.000439	1.000309	1.000433	1.000352	1.000421	1.000414	1.000381	1.000414	1.000447	1.000336	1.000451	1.000453	1.000379	1.000401	1.000421	1.000425	1.000433	1.000428	1.000467	1.000367	1.00042	1.000442	1.000451	1.000417	1.000394	1.000369	1.00045	1.000449	1.000431	1.000393	1.000355	1.000442	1.000445	1.000446
3.5	1.000442	1.000445	1.000396	1.000446	1.00044	1.000373	1.000439	1.000425	1.000382	1.000422	1.000414	1.00044	1.000342	1.000419	1.000438	1.000466	1.000439	1.000309	1.000433	1.000352	1.000422	1.000414	1.000381	1.000414	1.000447	1.000336	1.000451	1.000453	1.000379	1.000401	1.000421	1.000426	1.000433	1.000428	1.000467	1.000367	1.00042	1.000442	1.000452	1.000417	1.000394	1.000369	1.000451	1.000449	1.000432	1.000394	1.000355	1.000442	1.000445	1.000446
3.52	1.000442	1.000446	1.000396	1.000447	1.00044	1.000373	1.000439	1.000425	1.000382	1.000423	1.000414	1.00044	1.000343	1.000419	1.000439	1.000466	1.00044	1.000309	1.000434	1.000352	1.000422	1.000415	1.000381	1.000415	1.000447	1.000337	1.000452	1.000453	1.000379	1.000401	1.000421	1.000426	1.000433	1.000429	1.000467	1.000368	1.00042	1.000442	1.000452	1.000418	1.000395	1.00037	1.000451	1.00045	1.000432	1.000394	1.000355	1.000443	1.000445	1.000446
3.54	1.000443	1.000446	1.000397	1.000447	1.00044	1.000373	1.000439	1.000426	1.000383	1.000423	1.000415	1.00044	1.000343	1.000419	1.000439	1.000466	1.00044	1.000309	1.000434	1.000353	1.000422	1.000415	1.000382	1.000415	1.000448	1.000337	1.000452	1.000454	1.00038	1.000401	1.000422	1.000426	1.000434	1.000429	1.000468	1.000368	1.000421	1.000442	1.000452	1.000418	1.000395	1.00037	1.000451	1.00045	1.000432	1.000394	1.000356	1.000443	1.000446	1.000447
3.56	1.000443	1.000446	1.000397	1.000448	1.000441	1.000374	1.00044	1.000426	1.000383	1.000423	1.000415	1.00044	1.000343	1.000419	1.000439	1.000467	1.000441	1.000309	1.000434	1.000353	1.000422	1.000415	1.000382	1.000415	1.000448	1.000338	1.000452	1.000454	1.00038	1.000402	1.000422	1.000427	1.000434	1.000429	1.000468	1.000368	1.000421	1.000443	1.000453	1.000418	1.000395	1.00037	1.000452	1.00045	1.000433	1.000395	1.000356	1.000444	1.000446	1.000447
3.58	1.000443	1.000447	1.000397	1.000448	1.000441	1.000374	1.00044	1.000426	1.000384	1.000423	1.000415	1.000441	1.000344	1.00042	1.00044	1.000467	1.000441	1.00031	1.000435	1.000354	1.000423	1.000416	1.000382	1.000416	1.000448	1.000338	1.000453	1.000454	1.00038	1.000402	1.000422	1.000427	1.000434	1.000429	1.000468	1.000369	1.000421	1.000443	1.000453	1.000418	1.000396	1.000371	1.000452	1.000451	1.000433	1.000395	1.000356	1.000444	1.000446	1.000447
3.6	1.000444	1.000447	1.000398	1.000449	1.000441	1.000374	1.000441	1.000427	1.000384	1.000423	1.000416	1.000441	1.000344	1.00042	1.00044	1.000467	1.000441	1.00031	1.000435	1.000354	1.000423	1.000416	1.000383	1.000416	1.000448	1.000339	1.000453	1.000454	1.00038	1.000402	1.000423	1.000427	1.000435	1.00043	1.000468	1.000369	1.000421	1.000443	1.000453	1.000419	1.000396	1.000371	1.000452	1.000451	1.000433	1.000395	1.000356	1.000444	1.000446	1.000447
3.62	1.000444	1.000448	1.000398	1.00045	1.000441	1.000375	1.000441	1.000427	1.000384	1.000424	1.000416	1.000441	1.000344	1.00042	1.00044	1.000468	1.000442	1.00031	1.000435	1.000354	1.000423	1.000416	1.000383	1.000416	1.000449	1.000339	1.000453	1.000454	1.000381	1.000402	1.000423	1.000428	1.000435	1.00043	1.000469	1.000369	1.000422	1.000443	1.000453	1.000419	1.000397	1.000371	1.000453	1.000451	1.000433	1.000396	1.000357	1.000445	1.000447	1.000447
3.64	1.000444	1.000448	1.000398	1.00045	1.000442	1.000375	1.000441	1.000427	1.000385	1.000424	1.000416	1.000441	1.000344	1.00042	1.00044	1.000468	1.000442	1.00031	1.000436	1.000355	1.000423	1.000417	1.000383	1.000417	1.000449	1.00034	1.000454	1.000455	1.000381	1.000402	1.000423	1.000428	1.000436	1.00043	1.000469	1.00037	1.000422	1.000444	1.000454	1.000419	1.000397	1.000372	1.000453	1.000451	1.000434	1.000396	1.000357	1.000445	1.000447	1.000447
